date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions
2013-03-27;6371;155;1;14701;1050.0714285714287;7;77075;11010.714285714286;5;66230;13246.0;238;20;2
2013-03-28;8203;68;0;3044;434.85714285714283;5;48383;9676.6;3;36305;12101.666666666666;178;7;1
2013-03-29;8040;128;75;9419;2354.75;3;42157;14052.333333333334;0;0;0;254;15;3
2013-03-30;8286;0;0;887;443.5;5;28509;5701.8;3;32181;10727.0;49;1;1
2013-03-31;7893;1;0;0;0;4;66620;16655.0;0;0;0;31;1;1
2013-04-01;8047;144;3;14131;942.0666666666667;4;53342;13335.5;3;40586;13528.666666666666;224;34;2
2013-04-02;7671;0;0;0;0;0;0;0;0;0;0;31;1;1
2013-04-03;5792;218;66;9650;1206.25;2;35316;17658.0;1;33684;33684.0;261;22;2
2013-04-04;8336;0;0;0;0;0;0;0;0;0;0;27;1;1
2013-04-05;8118;147;4;10661;1184.5555555555557;2;35224;17612.0;2;12184;6092.0;184;30;2
2013-04-06;7931;212;11;11317;514.4090909090909;0;0;0;0;0;0;396;11;1
2013-04-07;8287;9;0;887;295.6666666666667;3;62950;20983.333333333332;1;29996;29996.0;52;3;1
2013-04-08;7934;298;0;11789;736.8125;5;102969;20593.8;1;21768;21768.0;404;36;2
2013-04-09;8322;2;0;190;63.333333333333336;2;64477;32238.5;2;12272;6136.0;33;1;1
2013-04-10;8161;116;0;12255;817.0;2;11323;5661.5;1;7175;7175.0;197;28;2
2013-04-11;8326;0;0;0;0;0;0;0;2;37181;18590.5;37;1;1
2013-04-12;8326;0;0;1211;403.6666666666667;1;35143;35143.0;0;0;0;37;1;1
2013-04-13;8156;71;0;6204;258.5;1;4688;4688.0;0;0;0;212;0;2
2013-04-14;8192;56;3;594;297.0;1;4113;4113.0;3;25394;8464.666666666666;151;0;2
2013-04-15;8026;163;29;6792;679.2;2;41256;20628.0;3;66340;22113.333333333332;325;0;3
2013-04-16;8262;0;0;201;100.5;3;42073;14024.333333333334;5;44647;8929.4;26;0;1
2013-04-17;7797;308;9;5478;391.2857142857143;1;31474;31474.0;1;4030;4030.0;425;0;5
2013-04-18;8184;124;3;4055;450.55555555555554;0;0;0;0;0;0;246;0;2
2013-04-19;5541;0;0;60;60.0;0;0;0;0;0;0;17;0;1
2013-04-20;1978;0;0;807;201.75;2;19978;9989.0;0;0;0;28;4;1
2013-04-21;8117;148;0;16973;332.80392156862746;6;85499;14249.833333333334;3;22674;7558.0;190;11;2
2013-04-22;7947;104;0;4316;1438.6666666666667;3;37644;12548.0;2;34255;17127.5;159;14;2
2013-04-23;7639;370;31;2118;235.33333333333334;5;97244;19448.8;2;49167;24583.5;540;15;5
2013-04-24;8068;0;0;372;124.0;2;55398;27699.0;0;0;0;36;4;1
2013-04-25;6229;195;17;9218;838.0;0;0;0;0;0;0;353;44;2
2013-04-26;7625;334;21;17365;1447.0833333333333;1;5145;5145.0;0;0;0;387;33;3
2013-04-27;8274;27;0;5823;194.1;1;31344;31344.0;0;0;0;75;2;1
2013-04-28;8093;64;0;3297;183.16666666666666;3;24686;8228.666666666666;2;15540;7770.0;105;5;1
2013-04-29;7934;156;7;5314;664.25;4;47575;11893.75;3;34977;11659.0;131;15;2
2013-04-30;7468;384;66;3963;304.84615384615387;5;102703;20540.6;4;58661;14665.25;660;17;5
2013-05-01;8339;0;0;262;262.0;0;0;0;0;0;0;40;5;1
2013-05-02;8327;0;0;714;102.0;0;0;0;0;0;0;31;4;1
2013-05-03;8326;0;0;91;91.0;0;0;0;0;0;0;28;0;1
2013-05-04;8335;0;0;10680;381.42857142857144;1;10089;10089.0;0;0;0;24;0;1
2013-05-05;8334;0;0;4193;209.65;2;24663;12331.5;1;8501;8501.0;37;0;1
2013-05-06;7918;172;1;5729;440.6923076923077;5;67964;13592.8;2;24899;12449.5;206;0;2
2013-05-07;6471;89;9;6867;981.0;0;0;0;2;40752;20376.0;144;19;2
2013-05-08;8328;0;0;1684;210.5;0;0;0;0;0;0;34;3;1
2013-05-09;8334;0;0;80;80.0;0;0;0;0;0;0;28;2;1
2013-05-10;8337;0;0;6699;478.5;0;0;0;1;10148;10148.0;33;3;1
2013-05-11;8324;1;0;0;0;1;15742;15742.0;1;17975;17975.0;29;1;1
2013-05-12;8311;0;0;0;0;2;21304;10652.0;0;0;0;23;3;1
2013-05-13;7081;60;4;7776;777.6;1;10294;10294.0;0;0;0;98;19;2
2013-05-14;7484;1;0;0;0;1;4541;4541.0;1;27689;27689.0;31;6;1
2013-05-15;8042;157;45;3772;538.8571428571429;1;32437;32437.0;2;62164;31082.0;182;23;3
2013-05-16;5591;0;0;1573;524.3333333333334;2;27627;13813.5;0;0;0;40;6;1
2013-05-21;2795;141;18;5284;406.46153846153845;1;5735;5735.0;1;5868;5868.0;215;29;2
2013-05-22;8334;0;0;0;0;0;0;0;0;0;0;36;4;1
2013-05-23;268;0;0;0;0;0;0;0;0;0;0;35;2;1
