date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions
2013-03-27;457;63;0;2461;351.57142857142856;0;0;0;0;0;0;165;16;2
2013-03-28;7466;305;40;6276;627.6;2;29558;14779.0;3;23092;7697.333333333333;452;25;4
2013-03-29;7205;560;78;8578;8578.0;2;32789;16394.5;3;46224;15408.0;755;28;3
2013-03-30;7593;460;8;10128;1446.857142857143;6;75783;12630.5;3;88780;29593.333333333332;414;9;2
2013-03-31;7226;338;49;15357;903.3529411764706;3;36836;12278.666666666666;4;57426;14356.5;327;13;3
2013-04-01;7174;523;37;22531;1072.904761904762;6;44950;7491.666666666667;3;44862;14954.0;709;38;4
2013-04-02;7806;233;12;7686;960.75;5;60960;12192.0;2;17330;8665.0;272;8;2
2013-04-03;7432;515;18;28039;1649.3529411764705;4;40939;10234.75;2;53227;26613.5;545;24;3
2013-04-04;7863;203;71;4732;591.5;2;41026;20513.0;2;39659;19829.5;357;17;3
2013-04-05;7326;629;11;33209;1277.2692307692307;4;44739;11184.75;3;51622;17207.333333333332;923;33;3
2013-04-06;7922;185;10;5034;559.3333333333334;2;8562;4281.0;2;35310;17655.0;243;5;2
2013-04-07;7976;125;0;13631;757.2777777777778;1;29151;29151.0;5;53845;10769.0;184;5;2
2013-04-08;7272;672;61;32308;1009.625;5;38924;7784.8;6;54295;9049.166666666666;853;44;4
2013-04-09;8076;37;4;8221;432.6842105263158;3;46236;15412.0;3;24189;8063.0;40;6;1
2013-04-10;7454;470;24;28915;1204.7916666666667;3;12539;4179.666666666667;4;51390;12847.5;580;24;3
2013-04-11;7477;384;4;28120;1222.608695652174;4;45622;11405.5;3;14097;4699.0;639;27;4
2013-04-12;7724;313;15;26344;1197.4545454545455;5;39384;7876.8;4;18223;4555.75;363;13;2
2013-04-13;8105;97;0;878;219.5;4;47077;11769.25;2;49049;24524.5;122;7;2
2013-04-14;7593;39;0;1077;153.85714285714286;2;38583;19291.5;3;68525;22841.666666666668;35;4;1
2013-04-15;7656;321;87;18544;1236.2666666666667;2;12658;6329.0;5;53361;10672.2;681;54;4
2013-04-16;7702;332;4;18024;858.2857142857143;2;10262;5131.0;1;11219;11219.0;296;6;2
2013-04-17;7419;443;48;25425;1105.4347826086957;5;32826;6565.2;6;50116;8352.666666666666;758;53;3
2013-04-18;7398;428;122;30742;1707.888888888889;4;48180;12045.0;2;16346;8173.0;649;62;4
2013-04-19;7502;341;52;29738;1749.2941176470588;4;22301;5575.25;4;52472;13118.0;483;34;2
2013-04-20;7934;127;42;1988;397.6;2;14364;7182.0;1;22590;22590.0;162;8;2
2013-04-21;8022;113;21;2318;386.3333333333333;6;51874;8645.666666666666;2;8636;4318.0;114;6;2
2013-04-22;7438;307;26;26947;1077.88;2;23882;11941.0;6;65880;10980.0;397;42;3
2013-04-23;7528;412;36;14387;2055.285714285714;2;10564;5282.0;2;26809;13404.5;213;5;2
2013-04-24;7403;451;0;22509;937.875;2;35173;17586.5;3;16293;5431.0;493;0;3
2013-04-25;7935;216;13;4246;265.375;3;37526;12508.666666666666;3;71836;23945.333333333332;469;0;2
2013-04-26;7377;600;13;29997;909.0;2;18975;9487.5;3;39349;13116.333333333334;815;0;3
2013-04-27;6936;658;42;41113;1868.7727272727273;2;27642;13821.0;2;9933;4966.5;511;8;2
2013-04-28;7319;527;54;32798;1058.0;3;25476;8492.0;6;85074;14179.0;585;15;2
2013-04-29;7947;166;7;15422;670.5217391304348;3;41653;13884.333333333334;3;48157;16052.333333333334;220;18;2
2013-04-30;7647;313;1;6914;768.2222222222222;3;27107;9035.666666666666;5;59752;11950.4;259;8;2
2013-05-01;7389;509;146;24985;1086.304347826087;2;19978;9989.0;5;54435;10887.0;512;13;2
2013-05-02;7767;255;33;7254;1036.2857142857142;5;46070;9214.0;4;76569;19142.25;375;19;2
2013-05-03;7663;408;7;20773;1384.8666666666666;4;28262;7065.5;1;7739;7739.0;695;8;3
2013-05-04;7428;502;89;39719;1369.6206896551723;4;42732;10683.0;6;53680;8946.666666666666;606;0;2
2013-05-05;7715;290;39;10253;854.4166666666666;3;35199;11733.0;3;48977;16325.666666666666;310;0;2
2013-05-06;7446;450;46;23629;590.725;4;47858;11964.5;5;73519;14703.8;634;0;1
2013-05-07;7891;210;45;9534;1059.3333333333333;4;42718;10679.5;5;71876;14375.2;366;0;1
2013-05-08;7576;352;22;37018;1423.7692307692307;5;41487;8297.4;3;38558;12852.666666666666;603;26;1
2013-05-09;7773;272;8;11327;596.1578947368421;3;16838;5612.666666666667;5;33385;6677.0;351;19;0
2013-05-10;7485;569;30;27318;942.0;5;48581;9716.2;5;64453;12890.6;651;26;1
2013-05-11;7387;502;41;35433;1107.28125;5;58483;11696.6;4;35071;8767.75;575;11;2
2013-05-12;6739;710;240;36675;1111.3636363636363;9;69899;7766.555555555556;7;63592;9084.57142857143;632;18;0
2013-05-13;7379;496;130;19899;947.5714285714286;5;61788;12357.6;5;77937;15587.4;430;44;2
2013-05-14;7926;147;4;13352;1669.0;5;69220;13844.0;3;43642;14547.333333333334;174;15;1
2013-05-15;8203;21;0;262;87.33333333333333;4;47061;11765.25;1;20606;20606.0;27;2;0
2013-05-16;7947;105;30;5879;653.2222222222222;3;44894;14964.666666666666;4;28379;7094.75;197;3;0
2013-05-17;7986;174;6;14833;1648.111111111111;4;26445;6611.25;1;21557;21557.0;174;12;1
2013-05-18;3232;107;68;5273;1757.6666666666667;1;15210;15210.0;1;31506;31506.0;171;3;0
2013-05-22;1038;19;1;0;0;0;0;0;1;5315;5315.0;12;2;1
2013-05-23;656;106;3;0;0;0;0;0;0;0;0;13;2;1
2013-05-30;2276;22;1;0;0;1;7821;7821.0;0;0;0;0;0;0
