date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions
2013-03-27;5912;373;17;18701;719.2692307692307;4;40439;10109.75;3;12978;4326.0;487;93;3
2013-03-28;7708;307;77;31509;1086.5172413793102;6;78426;13071.0;5;70009;14001.8;437;65;3
2013-03-29;7443;356;33;26540;915.1724137931035;2;33106;16553.0;4;48417;12104.25;443;41;3
2013-03-30;7529;412;13;26187;476.1272727272727;4;31077;7769.25;3;23023;7674.333333333333;380;9;2
2013-03-31;7422;303;5;18082;602.7333333333333;5;39292;7858.4;4;30750;7687.5;189;32;2
2013-04-01;7600;343;112;31336;1010.8387096774194;5;60981;12196.2;3;21986;7328.666666666667;514;61;4
2013-04-02;7870;165;3;20555;478.0232558139535;3;21229;7076.333333333333;2;10526;5263.0;171;10;1
2013-04-03;7694;356;85;22490;1022.2727272727273;2;11208;5604.0;4;31646;7911.5;538;41;4
2013-04-04;7751;405;46;21891;684.09375;4;20401;5100.25;3;16708;5569.333333333333;455;62;3
2013-04-05;4734;446;15;21904;706.5806451612904;3;20352;6784.0;3;18123;6041.0;303;17;2
2013-04-06;7873;345;51;19727;458.7674418604651;2;16501;8250.5;1;8164;8164.0;393;7;2
2013-04-07;7856;299;0;25093;643.4102564102565;2;13055;6527.5;2;33941;16970.5;322;28;2
2013-04-08;7700;348;85;20402;703.5172413793103;4;50610;12652.5;4;44732;11183.0;568;44;4
2013-04-09;2920;478;60;16079;357.31111111111113;2;23394;11697.0;3;14944;4981.333333333333;325;15;4
2013-04-10;7687;326;40;19717;518.8684210526316;6;63234;10539.0;2;9160;4580.0;343;44;3
2013-04-11;3637;405;33;19206;1280.4;3;19575;6525.0;3;21880;7293.333333333333;508;51;3
2013-04-12;7813;248;99;12205;678.0555555555555;7;68091;9727.285714285714;7;85624;12232.0;472;14;3
2013-04-13;7883;240;5;12172;380.375;2;20928;10464.0;2;14964;7482.0;241;7;1
2013-04-14;7888;187;14;15782;309.45098039215685;5;50857;10171.4;4;23133;5783.25;253;6;1
2013-04-15;7945;211;30;29978;516.8620689655172;3;53231;17743.666666666668;3;46630;15543.333333333334;431;60;3
2013-04-16;7439;534;81;9560;382.4;2;28171;14085.5;2;40381;20190.5;356;8;3
2013-04-17;7758;310;71;21092;659.125;6;60447;10074.5;1;3657;3657.0;498;51;4
2013-04-18;7753;314;77;26206;582.3555555555556;7;67314;9616.285714285714;3;27072;9024.0;480;94;3
2013-04-19;6859;1003;160;33259;950.2571428571429;5;64038;12807.6;6;57337;9556.166666666666;1131;48;4
2013-04-20;7984;160;14;18809;348.31481481481484;3;55738;18579.333333333332;4;53809;13452.25;222;8;1
2013-04-21;8148;73;41;3300;165.0;5;55951;11190.2;1;4545;4545.0;137;12;2
2013-04-22;7749;334;27;21025;750.8928571428571;2;15606;7803.0;1;10125;10125.0;449;89;3
2013-04-23;7493;439;55;22663;647.5142857142857;4;63637;15909.25;2;15105;7552.5;609;51;6
2013-04-24;5340;161;18;24301;736.3939393939394;4;39680;9920.0;2;20309;10154.5;320;20;2
2013-04-25;3368;110;61;14870;743.5;0;0;0;1;4717;4717.0;320;12;2
2013-04-26;8002;164;3;18990;215.79545454545453;6;55893;9315.5;3;46130;15376.666666666666;375;33;2
2013-04-27;8024;101;21;13320;493.3333333333333;4;18687;4671.75;2;10120;5060.0;468;0;2
2013-04-28;8081;87;19;13392;432.0;3;12157;4052.3333333333335;0;0;0;247;0;1
2013-04-29;7630;313;73;10146;563.6666666666666;2;27635;13817.5;4;44172;11043.0;672;0;3
2013-04-30;7060;754;53;0;0;4;51344;12836.0;2;40621;20310.5;657;0;4
2013-05-01;7299;371;54;118;118.0;5;66125;13225.0;2;21266;10633.0;474;63;3
2013-05-02;6301;515;44;16788;621.7777777777778;4;19037;4759.25;2;10311;5155.5;549;91;3
2013-05-03;7717;336;24;24038;961.52;7;77172;11024.57142857143;5;26013;5202.6;492;44;4
2013-05-04;8063;88;0;24292;578.3809523809524;4;44835;11208.75;1;4924;4924.0;162;8;1
2013-05-05;8189;62;2;24702;667.6216216216217;3;17317;5772.333333333333;0;0;0;131;11;1
2013-05-06;8030;130;45;19372;774.88;4;68275;17068.75;4;71580;17895.0;310;92;3
2013-05-07;6949;715;39;10582;440.9166666666667;4;49236;12309.0;4;20465;5116.25;545;47;3
2013-05-08;7576;320;85;22558;626.6111111111111;4;20528;5132.0;3;38044;12681.333333333334;582;51;4
