date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions
2013-03-27;40;0;0;0;0;0;0;0;0;0;0;23;9;1
2013-04-01;55;3;0;1553;1553.0;0;0;0;0;0;0;14;7;1
2013-04-02;6299;386;6;41494;1152.611111111111;7;60301;8614.42857142857;4;46099;11524.75;1585;31;10
2013-04-03;7523;273;9;33756;1054.875;6;61921;10320.166666666666;1;33910;33910.0;1384;21;8
2013-04-04;12066;482;7;26018;1300.9;6;44640;7440.0;3;40825;13608.333333333334;1108;29;5
2013-04-05;11222;274;4;23579;523.9777777777778;5;38522;7704.4;2;30487;15243.5;1427;14;7
2013-04-06;6376;357;31;19921;1328.0666666666666;5;50472;10094.4;2;7821;3910.5;1524;4;9
2013-04-08;10874;385;28;18076;753.1666666666666;3;42807;14269.0;0;0;0;1216;22;3
2013-04-09;6599;395;84;16526;590.2142857142857;3;52229;17409.666666666668;0;0;0;1526;35;4
2013-04-10;5948;8;0;8591;505.3529411764706;1;5527;5527.0;0;0;0;43;3;1
2013-04-11;6957;318;70;33555;762.6136363636364;6;70950;11825.0;2;17837;8918.5;1942;29;6
2013-04-12;7454;287;6;36156;860.8571428571429;7;59001;8428.714285714286;1;6741;6741.0;1021;46;5
2013-04-13;7414;301;0;24473;741.6060606060606;5;58307;11661.4;2;19243;9621.5;627;8;5
2013-04-14;23603;316;16;17905;1053.235294117647;4;44036;11009.0;2;36607;18303.5;1209;9;9
2013-04-15;24127;372;9;14164;1573.7777777777778;3;31450;10483.333333333334;3;39742;13247.333333333334;530;34;6
2013-04-16;6058;128;7;9075;378.125;1;17578;17578.0;1;15845;15845.0;723;16;6
2013-04-17;4824;55;10;1795;1795.0;2;15408;7704.0;1;12754;12754.0;599;9;4
2013-04-18;7272;277;45;19971;951.0;6;42447;7074.5;4;50538;12634.5;2240;66;11
2013-04-19;2661;190;6;4722;590.25;0;0;0;0;0;0;871;32;4
2013-04-21;10760;72;24;11842;473.68;4;62421;15605.25;2;45043;22521.5;958;7;6
2013-04-22;7923;101;1;20135;428.40425531914894;4;35207;8801.75;3;24936;8312.0;810;52;3
2013-04-23;7811;133;79;30059;556.6481481481482;0;0;0;0;0;0;1115;42;4
2013-04-24;848;16;18;878;175.6;0;0;0;0;0;0;187;0;2
2013-04-27;921;0;0;0;0;0;0;0;0;0;0;39;6;1
2013-04-28;8047;46;1;15362;349.1363636363636;6;70194;11699.0;0;0;0;565;17;4
2013-04-29;7522;132;17;18378;437.57142857142856;5;40313;8062.6;3;36001;12000.333333333334;758;36;5
2013-04-30;7388;356;69;29281;791.3783783783783;3;33790;11263.333333333334;4;49315;12328.75;903;59;4
2013-05-01;4804;9;0;18484;410.75555555555553;0;0;0;0;0;0;426;8;3
2013-05-04;925;0;0;3024;252.0;1;16609;16609.0;0;0;0;15;1;0
2013-05-05;7440;20;18;17763;612.5172413793103;1;6894;6894.0;2;42600;21300.0;605;26;2
2013-05-06;7080;566;117;19375;717.5925925925926;7;68444;9777.714285714286;3;50348;16782.666666666668;980;67;6
2013-05-07;7722;169;59;15042;752.1;7;63978;9139.714285714286;2;41083;20541.5;954;34;7
2013-05-08;7352;225;67;19088;465.5609756097561;6;57531;9588.5;2;44073;22036.5;732;55;7
2013-05-09;2959;4;0;10016;1001.6;4;24727;6181.75;1;13835;13835.0;14;2;2
2013-05-10;4710;229;0;5305;482.27272727272725;3;36384;12128.0;1;11275;11275.0;411;9;3
2013-05-11;7649;112;8;6513;501.0;8;74357;9294.625;1;7608;7608.0;701;19;3
2013-05-12;8312;12;0;10113;288.9428571428571;5;81138;16227.6;0;0;0;46;30;1
2013-05-13;7780;105;22;23686;538.3181818181819;4;18344;4586.0;0;0;0;475;42;3
2013-05-14;6228;103;38;9726;389.04;2;13457;6728.5;0;0;0;600;0;7
2013-05-15;6451;264;0;11863;515.7826086956521;5;37778;7555.6;0;0;0;378;51;3
2013-05-17;288;2;0;0;0;0;0;0;0;0;0;8;2;1
2013-05-18;1875;64;2;6888;861.0;2;12124;6062.0;0;0;0;337;7;3
2013-05-19;517;0;0;0;0;0;0;0;0;0;0;13;0;1
2013-05-20;7405;284;1;17144;902.3157894736842;6;46625;7770.833333333333;2;33765;16882.5;888;26;5
2013-05-21;7711;110;0;17118;1069.875;8;67288;8411.0;5;70353;14070.6;448;21;4
2013-05-22;5439;17;0;5731;409.35714285714283;5;55477;11095.4;0;0;0;173;0;3
2013-05-24;666;41;2;5808;829.7142857142857;1;15191;15191.0;1;16054;16054.0;230;29;1
2013-05-25;7760;119;14;23187;702.6363636363636;4;58305;14576.25;1;4343;4343.0;603;42;5
2013-05-26;5661;0;0;28337;449.7936507936508;3;43671;14557.0;1;26913;26913.0;93;44;1
2013-05-27;8195;146;3;17969;417.8837209302326;3;51561;17187.0;3;70695;23565.0;486;63;5
2013-05-28;28346;186;3;16378;419.94871794871796;5;59411;11882.2;3;46996;15665.333333333334;363;36;3
2013-05-29;7095;211;0;10499;954.4545454545455;2;16382;8191.0;1;9815;9815.0;527;23;1
