date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions
2013-03-27;6536;529;264;15279;763.95;4;31788;7947.0;4;32598;8149.5;811;32;4
2013-03-28;7175;681;278;28866;824.7428571428571;2;20410;10205.0;3;27204;9068.0;829;21;4
2013-03-29;6889;607;287;20285;533.8157894736842;3;27393;9131.0;3;31348;10449.333333333334;700;23;4
2013-03-30;7905;941;148;29677;1099.148148148148;2;35468;17734.0;1;8666;8666.0;667;20;2
2013-03-31;4604;129;123;15037;485.06451612903226;5;71231;14246.2;4;43207;10801.75;296;11;2
2013-04-01;4570;284;307;34859;1089.34375;5;51107;10221.4;5;54919;10983.8;519;0;3
2013-04-02;5128;360;304;32246;977.1515151515151;6;57097;9516.166666666666;6;65052;10842.0;684;0;3
2013-04-03;4310;668;411;35873;797.1777777777778;6;42878;7146.333333333333;9;52995;5888.333333333333;928;0;3
2013-04-04;5559;476;251;37633;1140.3939393939395;6;52986;8831.0;6;56583;9430.5;571;3;2
2013-04-05;15278;922;281;31971;336.53684210526313;7;74146;10592.285714285714;4;56988;14247.0;1019;50;4
2013-04-06;12146;799;176;21795;531.5853658536586;1;26543;26543.0;2;12629;6314.5;513;29;3
2013-04-07;6334;656;24;4275;171.0;3;34335;11445.0;3;43916;14638.666666666666;334;19;2
2013-04-08;6338;1071;185;20299;461.34090909090907;3;27966;9322.0;3;29377;9792.333333333334;865;28;4
2013-04-09;8592;634;155;22555;805.5357142857143;3;34867;11622.333333333334;3;37585;12528.333333333334;598;20;2
2013-04-10;7944;667;151;12999;481.44444444444446;2;25999;12999.5;2;28360;14180.0;961;29;3
2013-04-11;6140;861;17;7270;605.8333333333334;3;26843;8947.666666666666;3;30375;10125.0;780;26;3
2013-04-12;35382;3762;372;21852;280.15384615384613;2;24324;12162.0;3;32222;10740.666666666666;482;14;2
2013-04-13;31162;2868;179;18851;554.4411764705883;1;26214;26214.0;1;32822;32822.0;430;17;2
2013-04-14;32091;4872;580;25498;268.4;2;14475;7237.5;3;19528;6509.333333333333;594;13;2
2013-04-15;33203;4165;543;26813;257.8173076923077;1;4002;4002.0;2;9259;4629.5;508;15;2
2013-04-16;18869;2306;502;16108;350.17391304347825;1;6521;6521.0;1;6518;6518.0;568;48;5
2013-04-17;36520;2290;458;15033;259.1896551724138;2;12901;6450.5;3;20144;6714.666666666667;417;19;2
2013-04-18;35671;2307;514;32283;354.75824175824175;1;5766;5766.0;2;26115;13057.5;767;64;6
2013-04-19;30438;4223;984;33329;504.9848484848485;2;27259;13629.5;2;28167;14083.5;972;42;3
