date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;346;0;0;0;0;0;0;0;0;0;0;11;3;1;0;0
2013-03-27 06;342;0;0;0;0;1;31207;31207.0;0;0;0;15;1;1;0;0
2013-03-27 07;348;0;0;0;0;0;0;0;0;0;0;15;1;1;0;0
2013-03-27 08;348;0;0;0;0;0;0;0;0;0;0;15;1;1;0;1
2013-03-27 09;348;0;0;0;0;0;0;0;0;0;0;17;1;1;0;0
2013-03-27 10;347;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0
2013-03-27 11;348;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0
2013-03-27 12;348;0;0;60;60.0;0;0;0;0;0;0;17;0;1;0;0
2013-03-27 13;347;0;0;0;0;0;0;0;0;0;0;18;1;1;0;0
2013-03-27 14;274;24;43;1099;1099.0;0;0;0;0;0;0;146;1;1;0;0
2013-03-27 15;344;0;0;2904;2904.0;0;0;0;0;0;0;15;8;1;0;0
2013-03-27 16;293;12;29;4124;2062.0;1;9363;9363.0;1;9362;9362.0;105;21;2;0;0
2013-03-27 17;322;9;8;3238;1079.3333333333333;0;0;0;0;0;0;57;19;1;0;0
2013-03-27 18;278;42;12;2573;857.6666666666666;0;0;0;0;0;0;153;8;2;0;0
2013-03-27 19;322;13;4;0;0;1;5317;5317.0;1;5706;5706.0;80;4;1;0;0
2013-03-27 20;327;4;12;60;60.0;0;0;0;0;0;0;41;0;1;0;0
2013-03-27 21;266;12;56;71;71.0;1;7912;7912.0;0;0;0;161;0;1;0;0
2013-03-27 22;348;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0
2013-03-27 23;345;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1
2013-03-28 00;225;36;30;1694;1694.0;1;4962;4962.0;1;23609;23609.0;137;0;1;0;0
2013-03-28 01;348;0;0;2794;1397.0;0;0;0;0;0;0;18;0;1;0;0
2013-03-28 02;348;0;0;262;262.0;1;7219;7219.0;0;0;0;18;0;1;0;0
2013-03-28 03;347;0;0;3573;893.25;0;0;0;0;0;0;15;0;1;0;0
2013-03-28 04;308;8;0;2047;2047.0;1;7323;7323.0;0;0;0;13;0;1;0;4
2013-03-28 05;341;0;0;1482;494.0;0;0;0;0;0;0;14;0;1;0;0
2013-03-28 06;347;0;0;615;205.0;0;0;0;0;0;0;22;0;1;0;0
2013-03-28 07;347;0;0;0;0;1;34142;34142.0;1;34201;34201.0;16;0;1;0;0
2013-03-28 08;348;0;0;0;0;0;0;0;0;0;0;18;0;1;0;5
2013-03-28 09;347;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0
2013-03-28 10;348;0;0;0;0;0;0;0;0;0;0;17;0;1;0;0
2013-03-28 11;347;0;0;0;0;0;0;0;0;0;0;14;0;1;0;5
2013-03-28 12;348;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0
2013-03-28 13;348;0;0;0;0;0;0;0;0;0;0;22;0;1;0;0
2013-03-28 14;348;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0
2013-03-28 15;347;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0
