date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;348;0;0;0;0;1;32949;32949.0;1;32950;32950.0;8;1;1;0;0
2013-03-27 06;347;0;0;0;0;0;0;0;0;0;0;8;2;1;0;0
2013-03-27 07;347;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0
2013-03-27 08;347;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0
2013-03-27 09;348;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0
2013-03-27 10;348;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0
2013-03-27 11;348;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0
2013-03-27 12;348;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0
2013-03-27 13;348;0;0;0;0;0;0;0;0;0;0;11;1;1;0;0
2013-03-27 14;271;41;20;977;488.5;0;0;0;0;0;0;101;1;2;0;0
2013-03-27 15;323;4;0;2844;2844.0;0;0;0;0;0;0;12;10;1;0;0
2013-03-27 16;313;30;0;4518;2259.0;1;6531;6531.0;1;6418;6418.0;27;8;2;0;0
2013-03-27 17;259;42;1;272;136.0;0;0;0;0;0;0;51;13;1;0;0
2013-03-27 18;303;36;0;3580;3580.0;0;0;0;0;0;0;47;17;1;0;0
2013-03-27 19;297;39;0;0;0;1;6600;6600.0;0;0;0;66;11;1;0;0
2013-03-27 20;194;63;7;111;111.0;0;0;0;1;3719;3719.0;71;11;1;0;0
2013-03-27 21;256;56;16;382;127.33333333333333;1;10473;10473.0;1;10456;10456.0;93;8;1;0;0
2013-03-27 22;286;37;1;1736;1736.0;0;0;0;0;0;0;77;12;1;0;0
2013-03-27 23;291;5;0;231;115.5;0;0;0;0;0;0;8;7;1;0;0
2013-03-28 00;280;52;2;1584;528.0;1;5494;5494.0;1;5493;5493.0;73;8;2;0;0
2013-03-28 01;348;0;0;1079;1079.0;0;0;0;0;0;0;9;1;1;0;0
2013-03-28 02;344;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0
2013-03-28 03;347;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0
2013-03-28 04;347;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0
2013-03-28 05;348;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0
2013-03-28 06;347;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0
2013-03-28 07;348;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0
2013-03-28 08;347;0;0;0;0;0;0;0;0;0;0;6;1;1;0;0
2013-03-28 09;346;0;0;0;0;0;0;0;0;0;0;9;1;1;0;0
2013-03-28 10;348;0;0;0;0;0;0;0;0;0;0;12;1;1;0;0
2013-03-28 11;348;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0
2013-03-28 12;347;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0
2013-03-28 13;346;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0
2013-03-28 14;294;33;10;0;0;1;7548;7548.0;1;7578;7578.0;65;1;1;0;0
2013-03-28 15;347;0;0;828;276.0;0;0;0;0;0;0;8;1;1;0;0
2013-03-28 16;302;7;29;423;211.5;0;0;0;0;0;0;52;0;1;0;0
2013-03-28 17;305;3;22;2934;1467.0;1;4462;4462.0;1;4467;4467.0;32;8;1;0;0
