date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 18;114;0;0;0;0;0;0;0;0;0;0;13;6;1;0;0
2013-03-27 19;144;0;0;0;0;0;0;0;0;0;0;16;8;1;0;0
2013-03-28 19;224;10;0;512;256.0;0;0;0;0;0;0;20;1;0;0;0
2013-03-28 20;295;9;0;1346;448.6666666666667;0;0;0;0;0;0;48;1;0;0;0
2013-03-28 21;267;49;0;2349;1174.5;0;0;0;0;0;0;96;1;0;0;0
2013-03-28 22;273;23;2;231;115.5;0;0;0;0;0;0;112;1;0;0;0
2013-03-28 23;337;0;0;0;0;0;0;0;0;0;0;22;1;0;0;0
2013-03-29 00;329;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0
2013-03-29 01;310;19;0;2058;2058.0;0;0;0;0;0;0;33;0;1;0;0
2013-03-29 02;303;15;0;0;0;0;0;0;0;0;0;7;0;0;0;0
2013-03-29 03;326;0;0;221;221.0;0;0;0;0;0;0;7;1;1;0;0
2013-03-29 04;208;75;5;131;131.0;1;10211;10211.0;0;0;0;136;1;0;0;0
2013-03-29 05;346;0;0;582;582.0;0;0;0;0;0;0;3;1;0;0;0
2013-03-29 06;345;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0
2013-03-29 07;346;0;0;0;0;0;0;0;0;0;0;8;0;0;0;3
2013-03-29 08;304;13;0;0;0;1;4336;4336.0;0;0;0;87;0;1;0;0
2013-03-29 09;205;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0
2013-03-29 12;41;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0
2013-03-29 13;300;21;0;0;0;1;3861;3861.0;0;0;0;86;1;2;0;0
2013-03-29 14;322;3;4;2329;2329.0;0;0;0;0;0;0;60;1;1;0;0
2013-03-29 15;316;16;4;251;83.66666666666667;0;0;0;0;0;0;30;1;1;0;0
2013-03-29 16;267;33;0;603;301.5;0;0;0;0;0;0;142;1;1;0;0
2013-03-29 17;260;17;12;682;227.33333333333334;0;0;0;0;0;0;50;1;1;0;0
2013-03-29 18;39;9;0;0;0;0;0;0;0;0;0;29;0;0;0;0
2013-03-29 19;298;24;4;2192;1096.0;0;0;0;0;0;0;63;1;1;0;0
2013-03-29 20;256;68;0;4838;4838.0;0;0;0;0;0;0;102;1;2;0;0
2013-03-29 21;254;28;0;1144;286.0;0;0;0;0;0;0;7;1;2;0;0
2013-03-29 22;234;63;0;1597;1597.0;0;0;0;0;0;0;68;1;2;0;0
2013-03-29 23;275;19;0;1467;366.75;0;0;0;0;0;0;17;1;1;0;3
2013-03-30 00;261;12;0;432;432.0;0;0;0;0;0;0;26;1;1;0;0
2013-03-30 01;289;19;0;0;0;0;0;0;0;0;0;94;1;1;0;0
2013-03-30 02;270;34;0;6204;2068.0;0;0;0;0;0;0;107;1;1;0;0
2013-03-30 03;275;42;2;0;0;0;0;0;0;0;0;161;1;1;0;0
2013-03-30 04;336;0;0;573;286.5;1;20289;20289.0;0;0;0;7;0;1;0;0
2013-03-30 05;347;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0
2013-03-30 06;346;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0
2013-03-30 07;346;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0
2013-03-30 08;347;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
2013-03-30 09;343;0;0;0;0;0;0;0;0;0;0;3;1;1;0;0
2013-03-30 10;114;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
