date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;256;7;1;192;96.0;0;0;0;0;0;0;63;2;1;0;0
2013-03-27 06;441;0;0;0;0;0;0;0;0;0;0;17;1;1;0;4
2013-03-27 07;359;5;0;0;0;1;19425;19425.0;1;20241;20241.0;27;1;1;0;0
2013-03-27 08;428;0;0;0;0;0;0;0;0;0;0;19;1;1;0;0
2013-03-27 09;426;0;0;0;0;0;0;0;0;0;0;19;1;1;0;0
2013-03-27 10;426;0;0;0;0;0;0;0;0;0;0;19;1;1;0;2
2013-03-27 11;431;0;0;0;0;0;0;0;0;0;0;19;1;1;0;0
2013-03-27 12;425;0;0;0;0;0;0;0;0;0;0;20;1;1;0;0
2013-03-27 13;226;54;50;0;0;0;0;0;0;0;0;129;1;3;0;0
2013-03-27 14;278;34;108;0;0;0;0;0;0;0;0;248;2;2;0;0
2013-03-27 15;372;31;0;220;73.33333333333333;1;3866;3866.0;1;3865;3865.0;18;6;1;0;0
2013-03-27 16;156;101;54;2517;1258.5;1;4185;4185.0;1;4181;4181.0;122;14;2;0;0
2013-03-27 17;212;142;0;1334;1334.0;0;0;0;0;0;0;76;9;1;0;1
2013-03-27 18;349;28;21;4933;4933.0;1;4312;4312.0;1;4311;4311.0;84;1;2;0;4
2013-03-27 19;314;50;1;0;0;0;0;0;0;0;0;40;0;1;0;0
2013-03-27 20;384;11;0;1071;535.5;0;0;0;0;0;0;131;7;2;0;0
2013-03-27 21;311;26;24;333;111.0;0;0;0;0;0;0;71;2;1;0;1
2013-03-27 22;379;24;0;808;202.0;0;0;0;0;0;0;68;3;1;0;0
2013-03-27 23;363;16;5;3871;1935.5;0;0;0;0;0;0;68;2;1;0;0
2013-03-28 00;421;0;0;467;233.5;0;0;0;0;0;0;43;2;1;0;0
2013-03-28 01;347;39;13;2042;680.6666666666666;0;0;0;0;0;0;113;3;1;0;1
2013-03-28 02;283;92;26;1334;667.0;0;0;0;1;5010;5010.0;117;1;1;0;0
2013-03-28 03;250;62;17;5369;5369.0;0;0;0;0;0;0;42;0;1;0;0
2013-03-28 04;251;139;0;465;232.5;0;0;0;0;0;0;128;1;2;0;0
2013-03-28 05;420;8;0;364;182.0;0;0;0;0;0;0;41;1;1;0;0
2013-03-28 06;413;0;0;1253;313.25;0;0;0;0;0;0;50;1;1;0;4
2013-03-28 07;429;0;0;232;116.0;0;0;0;0;0;0;34;0;1;0;0
2013-03-28 08;432;0;0;0;0;0;0;0;0;0;0;34;0;1;0;0
2013-03-28 09;56;14;10;60;60.0;1;13634;13634.0;1;15418;15418.0;83;1;2;0;0
2013-03-28 10;10;0;0;0;0;0;0;0;0;0;0;17;1;1;0;1
2013-03-28 11;12;0;0;0;0;0;0;0;0;0;0;16;1;1;0;0
2013-03-28 12;22;0;0;0;0;0;0;0;0;0;0;14;1;1;0;0
2013-03-28 13;322;34;29;0;0;0;0;0;0;0;0;101;1;2;0;0
2013-03-28 14;376;9;22;3236;3236.0;0;0;0;0;0;0;63;0;1;0;0
2013-03-28 15;389;13;8;2184;728.0;0;0;0;0;0;0;70;2;2;0;0
2013-03-28 16;260;22;85;303;151.5;0;0;0;0;0;0;249;2;1;0;0
2013-03-28 17;201;131;39;203;101.5;0;0;0;0;0;0;122;6;1;0;1
2013-03-28 18;325;50;5;1760;440.0;0;0;0;0;0;0;100;2;1;0;0
2013-03-28 19;420;10;0;6582;3291.0;1;6776;6776.0;1;6776;6776.0;10;1;1;0;0
2013-03-28 20;390;11;0;0;0;0;0;0;0;0;0;15;0;1;0;4
2013-03-28 21;412;0;0;0;0;0;0;0;0;0;0;31;2;1;0;0
2013-03-28 22;414;6;0;0;0;0;0;0;0;0;0;41;2;1;0;0
2013-03-28 23;320;41;24;3012;1506.0;0;0;0;0;0;0;65;1;2;0;5
