date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;324;2;0;0;0;1;30949;30949.0;0;0;0;31;4;1;0;0
2013-03-27 06;347;0;0;0;0;0;0;0;0;0;0;27;1;1;0;0
2013-03-27 07;348;0;0;0;0;0;0;0;0;0;0;30;1;1;0;0
2013-03-27 08;347;0;0;0;0;0;0;0;0;0;0;30;2;1;0;0
2013-03-27 09;348;0;0;0;0;0;0;0;0;0;0;28;2;1;0;0
2013-03-27 10;347;0;0;0;0;0;0;0;0;0;0;35;2;1;0;0
2013-03-27 11;348;0;0;0;0;0;0;0;0;0;0;25;0;1;0;0
2013-03-27 12;347;0;0;0;0;0;0;0;0;0;0;35;1;1;0;0
2013-03-27 13;348;0;0;0;0;0;0;0;0;0;0;26;1;1;0;0
2013-03-27 14;285;39;19;0;0;0;0;0;0;0;0;140;2;1;0;0
2013-03-27 15;340;0;3;0;0;0;0;0;0;0;0;38;9;1;0;0
2013-03-27 16;225;78;0;0;0;0;0;0;0;0;0;158;8;1;0;0
2013-03-27 17;329;0;0;0;0;0;0;0;0;0;0;34;6;1;0;0
2013-03-27 18;332;0;0;0;0;0;0;0;0;0;0;32;6;1;0;0
2013-03-27 19;326;4;0;0;0;0;0;0;0;0;0;31;7;1;0;0
2013-03-27 20;259;69;0;0;0;0;0;0;0;0;0;135;17;2;0;0
2013-03-27 21;227;58;0;0;0;0;0;0;0;0;0;106;1;1;0;0
2013-03-27 22;306;0;0;0;0;0;0;0;0;0;0;24;1;1;0;0
2013-03-27 23;267;69;0;0;0;0;0;0;0;0;0;98;1;2;0;4
2013-03-28 00;322;10;0;738;184.5;0;0;0;1;4216;4216.0;13;2;1;0;0
2013-03-28 01;265;34;0;3083;770.75;0;0;0;0;0;0;58;7;1;0;0
2013-03-28 02;258;57;0;0;0;0;0;0;1;5849;5849.0;156;1;2;0;0
2013-03-28 03;290;5;0;0;0;0;0;0;0;0;0;13;0;1;0;0
2013-03-28 04;191;52;4;0;0;0;0;0;0;0;0;18;0;1;0;0
2013-03-28 05;260;27;0;0;0;0;0;0;1;27882;27882.0;26;0;1;0;0
2013-03-28 06;348;0;0;0;0;0;0;0;0;0;0;21;1;1;0;0
2013-03-28 07;348;0;0;0;0;0;0;0;0;0;0;28;1;1;0;0
2013-03-28 08;347;0;0;0;0;0;0;0;0;0;0;28;0;1;0;0
2013-03-28 09;345;0;0;0;0;0;0;0;0;0;0;27;0;1;0;0
2013-03-28 10;347;0;0;0;0;0;0;0;0;0;0;29;1;1;0;0
2013-03-28 11;348;0;0;0;0;0;0;0;0;0;0;24;1;1;0;0
2013-03-28 12;347;0;0;0;0;0;0;0;0;0;0;34;1;1;0;0
2013-03-28 13;306;18;0;0;0;0;0;0;0;0;0;39;2;1;0;0
2013-03-28 14;260;54;7;0;0;0;0;0;0;0;0;115;14;1;0;0
2013-03-28 15;294;7;0;0;0;0;0;0;0;0;0;38;13;1;0;0
2013-03-28 16;251;24;14;828;828.0;0;0;0;0;0;0;102;13;1;0;0
2013-03-28 17;323;7;5;2951;1475.5;0;0;0;0;0;0;30;8;1;0;0
2013-03-28 18;274;41;0;5790;1930.0;0;0;0;0;0;0;80;6;2;0;0
2013-03-28 19;336;0;0;0;0;0;0;0;0;0;0;8;8;1;0;0
2013-03-28 20;281;59;0;0;0;0;0;0;0;0;0;43;9;1;0;0
2013-03-28 21;221;90;0;353;117.66666666666667;0;0;0;0;0;0;148;4;2;0;0
2013-03-28 22;267;40;0;0;0;0;0;0;0;0;0;60;4;1;0;0
2013-03-28 23;302;17;5;0;0;0;0;0;0;0;0;50;4;1;0;1
2013-03-29 00;248;63;2;0;0;0;0;0;0;0;0;85;5;2;0;0
2013-03-29 01;250;17;0;0;0;0;0;0;1;6111;6111.0;27;3;1;0;0
2013-03-29 02;344;0;0;0;0;0;0;0;0;0;0;27;4;1;0;0
2013-03-29 03;339;0;0;0;0;1;7545;7545.0;0;0;0;20;3;1;0;0
2013-03-29 04;347;0;0;0;0;0;0;0;0;0;0;27;2;1;0;0
2013-03-29 05;346;0;0;0;0;0;0;0;1;26367;26367.0;26;3;1;0;0
2013-03-29 06;333;0;0;0;0;1;22164;22164.0;0;0;0;25;0;1;0;0
2013-03-29 07;346;0;0;0;0;0;0;0;0;0;0;29;0;1;0;0
2013-03-29 08;365;0;0;0;0;0;0;0;0;0;0;30;0;1;0;0
2013-03-29 09;344;0;0;0;0;0;0;0;0;0;0;35;1;1;0;0
2013-03-29 10;346;0;0;0;0;0;0;0;0;0;0;28;1;1;0;0
2013-03-29 11;346;0;0;0;0;0;0;0;0;0;0;26;1;1;0;0
2013-03-29 12;346;0;0;0;0;0;0;0;0;0;0;23;0;1;0;0
2013-03-29 13;307;0;0;0;0;0;0;0;0;0;0;31;1;1;0;0
2013-03-29 14;264;62;0;0;0;0;0;0;0;0;0;355;0;1;0;0
2013-03-29 15;337;4;0;0;0;0;0;0;0;0;0;23;10;1;0;0
2013-03-29 16;234;88;0;2238;746.0;0;0;0;0;0;0;138;10;2;0;0
2013-03-29 17;313;0;0;0;0;1;10497;10497.0;1;10507;10507.0;66;12;1;0;0
2013-03-29 18;331;0;0;1380;276.0;0;0;0;0;0;0;37;0;1;0;0
2013-03-29 19;347;0;0;838;419.0;0;0;0;0;0;0;11;0;1;0;0
2013-03-29 20;325;16;0;0;0;0;0;0;0;0;0;38;1;1;0;0
2013-03-29 21;248;63;0;3531;1765.5;0;0;0;0;0;0;88;1;1;0;0
2013-03-29 22;252;61;0;6304;3152.0;0;0;0;1;4585;4585.0;373;3;2;0;0
2013-03-29 23;345;0;0;0;0;0;0;0;0;0;0;28;1;1;0;0
2013-03-30 00;163;136;0;3580;1193.3333333333333;0;0;0;0;0;0;164;4;2;0;4
2013-03-30 01;299;10;0;1069;1069.0;0;0;0;0;0;0;24;3;1;0;0
2013-03-30 02;336;0;0;676;676.0;1;17159;17159.0;0;0;0;21;4;1;0;0
2013-03-30 03;348;0;0;0;0;0;0;0;0;0;0;24;0;1;0;0
2013-03-30 04;347;0;0;0;0;0;0;0;0;0;0;22;2;1;0;0
2013-03-30 05;348;0;0;0;0;0;0;0;1;7852;7852.0;22;2;1;0;0
2013-03-30 06;347;0;0;0;0;0;0;0;0;0;0;23;0;1;0;0
2013-03-30 07;348;0;0;0;0;0;0;0;1;29445;29445.0;23;1;1;0;0
2013-03-30 08;347;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0
2013-03-30 09;348;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0
2013-03-30 10;347;0;0;0;0;0;0;0;0;0;0;27;1;1;0;0
2013-03-30 11;348;0;0;0;0;0;0;0;0;0;0;21;1;1;0;0
2013-03-30 12;347;0;0;0;0;0;0;0;0;0;0;30;0;1;0;0
2013-03-30 13;348;0;0;0;0;0;0;0;0;0;0;27;0;1;0;0
2013-03-30 14;347;0;0;0;0;0;0;0;0;0;0;22;0;1;0;0
2013-03-30 15;342;0;0;0;0;0;0;0;0;0;0;23;0;1;0;0
2013-03-30 16;292;9;0;171;171.0;0;0;0;0;0;0;34;1;1;0;0
2013-03-30 17;293;44;0;2541;1270.5;0;0;0;0;0;0;68;6;1;0;0
2013-03-30 18;313;27;0;3299;1649.5;1;4409;4409.0;1;4296;4296.0;236;12;1;0;0
2013-03-30 19;341;0;0;3888;648.0;1;3888;3888.0;1;3950;3950.0;29;14;1;0;0
2013-03-30 20;204;84;0;1927;481.75;0;0;0;0;0;0;95;1;2;0;0
2013-03-30 21;67;107;0;2271;757.0;0;0;0;0;0;0;268;2;2;0;0
2013-03-30 22;154;91;0;6497;1624.25;0;0;0;0;0;0;285;0;1;0;0
2013-03-30 23;270;19;0;0;0;0;0;0;0;0;0;81;3;1;0;4
2013-03-31 00;321;21;0;2431;810.3333333333334;0;0;0;0;0;0;10;0;1;0;0
2013-03-31 01;327;3;0;131;131.0;0;0;0;0;0;0;13;1;1;0;0
2013-03-31 03;323;0;0;5599;5599.0;0;0;0;0;0;0;12;2;1;0;0
2013-03-31 04;271;28;0;0;0;0;0;0;0;0;0;7;0;1;0;0
2013-03-31 05;277;16;0;1100;550.0;0;0;0;1;29880;29880.0;18;3;1;0;0
2013-03-31 06;343;0;0;0;0;1;29430;29430.0;0;0;0;33;1;1;0;0
2013-03-31 07;348;0;0;0;0;0;0;0;0;0;0;30;0;1;0;0
2013-03-31 08;347;0;0;0;0;0;0;0;0;0;0;34;0;1;0;0
2013-03-31 09;348;0;0;0;0;0;0;0;0;0;0;29;0;1;0;0
2013-03-31 10;347;0;0;0;0;0;0;0;0;0;0;31;0;1;0;0
2013-03-31 11;348;0;0;0;0;0;0;0;0;0;0;34;0;1;0;0
2013-03-31 12;347;0;0;0;0;0;0;0;0;0;0;27;0;1;0;0
2013-03-31 13;347;0;0;0;0;0;0;0;0;0;0;36;0;1;0;0
2013-03-31 14;342;0;0;0;0;0;0;0;0;0;0;35;0;1;0;0
2013-03-31 15;324;3;0;1443;721.5;0;0;0;0;0;0;21;0;1;0;0
2013-03-31 16;84;10;7;2973;1486.5;0;0;0;0;0;0;84;1;2;0;0
2013-03-31 17;148;55;2;5506;5506.0;0;0;0;0;0;0;23;3;3;0;0
2013-03-31 18;200;33;0;3894;3894.0;0;0;0;0;0;0;12;1;1;0;0
2013-03-31 19;109;74;16;3712;3712.0;0;0;0;0;0;0;22;1;1;0;0
2013-03-31 20;35;117;1;3326;3326.0;0;0;0;0;0;0;80;1;2;0;0
2013-03-31 21;242;62;0;0;0;0;0;0;0;0;0;78;6;2;0;0
2013-03-31 22;301;14;0;241;241.0;0;0;0;0;0;0;12;0;1;0;0
2013-03-31 23;307;14;0;0;0;0;0;0;1;3726;3726.0;14;1;1;0;0
2013-04-01 00;311;0;0;344;172.0;0;0;0;0;0;0;10;3;1;0;5
2013-04-01 01;320;3;0;322;80.5;0;0;0;0;0;0;18;4;1;0;0
2013-04-01 02;284;59;0;1060;353.3333333333333;0;0;0;0;0;0;71;4;1;0;0
2013-04-01 03;218;19;0;2038;1019.0;0;0;0;0;0;0;38;3;1;0;0
2013-04-01 04;330;1;0;938;234.5;0;0;0;0;0;0;21;1;1;0;0
2013-04-01 05;302;6;0;859;286.3333333333333;0;0;0;0;0;0;20;2;1;0;0
2013-04-01 06;330;5;1;413;103.25;0;0;0;1;29715;29715.0;23;3;1;0;0
2013-04-01 07;347;0;0;0;0;1;25797;25797.0;0;0;0;22;2;1;0;0
2013-04-01 08;348;0;0;0;0;0;0;0;0;0;0;19;1;1;0;0
2013-04-01 09;348;0;0;0;0;0;0;0;0;0;0;23;1;1;0;0
2013-04-01 10;348;0;0;0;0;0;0;0;0;0;0;20;2;1;0;0
2013-04-01 11;345;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0
2013-04-01 12;348;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0
2013-04-01 13;346;0;0;0;0;0;0;0;0;0;0;23;0;1;0;0
2013-04-01 14;347;0;0;0;0;0;0;0;0;0;0;25;1;1;0;0
2013-04-01 15;271;68;0;1942;1942.0;0;0;0;0;0;0;115;4;2;0;0
2013-04-01 16;338;5;0;2018;2018.0;0;0;0;0;0;0;14;11;1;0;0
2013-04-01 17;239;95;0;3305;3305.0;0;0;0;0;0;0;101;6;1;0;0
2013-04-01 18;349;0;0;736;736.0;0;0;0;0;0;0;84;12;1;0;0
2013-04-01 19;310;21;0;333;333.0;1;8152;8152.0;0;0;0;108;0;1;0;0
2013-04-01 20;347;0;0;302;151.0;0;0;0;0;0;0;7;0;1;0;0
2013-04-01 21;348;0;0;90;90.0;0;0;0;0;0;0;7;0;1;0;0
2013-04-01 22;291;39;0;2277;455.4;0;0;0;0;0;0;19;0;1;0;0
2013-04-01 23;307;15;16;5681;1420.25;1;5232;5232.0;1;5194;5194.0;44;3;2;0;0
2013-04-02 00;327;20;0;373;373.0;0;0;0;0;0;0;21;0;1;0;0
2013-04-02 01;220;96;3;1766;1766.0;0;0;0;1;7966;7966.0;125;4;2;0;0
2013-04-02 02;346;0;0;0;0;0;0;0;0;0;0;22;2;1;0;0
2013-04-02 03;347;0;0;0;0;1;3771;3771.0;1;3852;3852.0;15;2;1;0;0
2013-04-02 04;323;9;0;490;245.0;0;0;0;0;0;0;27;4;1;0;0
2013-04-02 05;342;0;0;434;144.66666666666666;0;0;0;0;0;0;22;2;1;0;0
2013-04-02 06;343;0;0;221;110.5;0;0;0;0;0;0;19;2;1;0;0
2013-04-02 07;333;0;0;60;60.0;0;0;0;0;0;0;27;0;1;0;0
