date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;348;0;0;1979;395.8;0;0;0;0;0;0;21;7;1;0;0
2013-03-27 06;315;9;0;453;453.0;0;0;0;0;0;0;29;4;1;0;0
2013-03-27 07;348;0;0;0;0;1;24660;24660.0;1;28242;28242.0;26;4;1;0;0
2013-03-27 08;347;0;0;0;0;0;0;0;0;0;0;29;4;1;0;0
2013-03-27 09;348;0;0;0;0;0;0;0;0;0;0;30;4;1;0;4
2013-03-27 10;347;0;0;0;0;0;0;0;0;0;0;28;3;1;0;1
2013-03-27 11;348;0;0;0;0;0;0;0;0;0;0;23;3;1;0;0
2013-03-27 12;347;0;0;0;0;0;0;0;0;0;0;31;4;1;0;0
2013-03-27 13;348;0;0;0;0;0;0;0;0;0;0;36;4;1;0;0
2013-03-27 14;266;52;15;1079;1079.0;0;0;0;0;0;0;133;4;2;0;0
2013-03-27 15;315;8;0;3953;3953.0;0;0;0;0;0;0;22;7;1;0;0
2013-03-27 16;204;113;4;1815;605.0;1;5406;5406.0;1;5435;5435.0;151;8;1;0;0
2013-03-27 17;235;67;0;453;226.5;0;0;0;0;0;0;83;4;1;0;0
2013-03-27 18;249;88;3;2380;793.3333333333334;0;0;0;0;0;0;155;6;2;0;1
2013-03-27 19;303;29;8;3188;3188.0;0;0;0;0;0;0;100;3;1;0;0
2013-03-27 20;230;90;8;6243;2081.0;1;6878;6878.0;1;6902;6902.0;81;1;1;0;0
2013-03-27 21;346;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1
2013-03-27 22;204;61;52;4429;2214.5;0;0;0;0;0;0;120;3;2;0;0
2013-03-27 23;222;66;18;635;635.0;0;0;0;0;0;0;188;10;2;0;4
2013-03-28 00;342;1;0;2138;1069.0;0;0;0;0;0;0;36;5;1;0;0
2013-03-28 01;343;0;0;2107;526.75;0;0;0;0;0;0;35;5;1;0;0
2013-03-28 02;340;0;0;2118;529.5;0;0;0;0;0;0;39;4;1;0;0
2013-03-28 03;341;0;0;1967;983.5;0;0;0;0;0;0;32;5;1;0;0
2013-03-28 04;341;0;0;273;136.5;1;4115;4115.0;0;0;0;36;5;1;0;0
2013-03-28 05;338;0;0;51;51.0;1;33772;33772.0;0;0;0;39;6;1;0;4
2013-03-28 06;350;0;0;0;0;0;0;0;0;0;0;43;3;1;0;0
2013-03-28 07;347;0;0;0;0;0;0;0;0;0;0;42;3;1;0;0
2013-03-28 08;348;0;0;0;0;0;0;0;0;0;0;40;3;1;0;0
2013-03-28 09;347;0;0;0;0;0;0;0;0;0;0;39;3;1;0;1
2013-03-28 10;348;0;0;0;0;0;0;0;0;0;0;39;3;1;0;0
2013-03-28 11;347;0;0;0;0;0;0;0;0;0;0;36;3;1;0;0
2013-03-28 12;348;0;0;0;0;0;0;0;0;0;0;38;3;1;0;0
2013-03-28 13;347;0;0;0;0;0;0;0;0;0;0;35;4;1;0;0
2013-03-28 14;348;0;0;0;0;0;0;0;0;0;0;43;6;1;0;0
2013-03-28 15;241;19;73;0;0;0;0;0;0;0;0;233;5;2;0;0
2013-03-28 16;192;26;97;3309;1103.0;0;0;0;0;0;0;154;4;2;0;0
2013-03-28 17;257;13;4;3138;3138.0;0;0;0;0;0;0;26;6;1;0;0
2013-03-28 18;214;37;45;3701;1850.5;0;0;0;0;0;0;130;4;1;0;0
2013-03-28 19;253;20;12;2592;2592.0;0;0;0;0;0;0;11;2;0;0;1
2013-03-28 20;205;26;50;372;186.0;0;0;0;1;9151;9151.0;156;3;2;0;0
2013-03-28 21;238;43;30;7123;2374.3333333333335;1;6490;6490.0;0;0;0;35;2;1;0;0
2013-03-28 22;347;0;0;0;0;0;0;0;0;0;0;21;0;1;0;0
2013-03-28 23;237;19;42;3631;3631.0;0;0;0;0;0;0;144;6;2;0;0
2013-03-29 00;216;78;15;413;206.5;0;0;0;0;0;0;226;2;3;0;1
2013-03-29 01;313;16;11;212;212.0;0;0;0;0;0;0;46;4;1;0;4
2013-03-29 02;345;0;0;464;154.66666666666666;0;0;0;0;0;0;30;6;1;0;0
2013-03-29 03;341;0;0;60;60.0;0;0;0;0;0;0;35;6;1;0;1
2013-03-29 04;348;0;0;484;161.33333333333334;0;0;0;0;0;0;30;6;1;0;1
2013-03-29 05;347;0;0;514;128.5;0;0;0;0;0;0;35;7;1;0;4
2013-03-29 06;351;0;0;0;0;0;0;0;0;0;0;34;5;1;0;4
2013-03-29 07;347;0;0;0;0;0;0;0;0;0;0;37;4;1;0;0
2013-03-29 08;347;0;0;0;0;0;0;0;0;0;0;36;4;1;0;0
2013-03-29 09;348;0;0;0;0;0;0;0;0;0;0;34;4;1;0;0
2013-03-29 10;347;0;0;0;0;0;0;0;0;0;0;33;4;1;0;0
2013-03-29 11;348;0;0;0;0;0;0;0;0;0;0;35;4;1;0;0
2013-03-29 12;347;0;0;70;70.0;0;0;0;0;0;0;29;4;1;0;0
2013-03-29 13;346;0;0;132;66.0;0;0;0;0;0;0;32;5;1;0;0
