date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;348;0;0;484;484.0;1;30706;30706.0;1;30703;30703.0;22;1;1;0;0
2013-03-27 06;347;0;0;232;232.0;0;0;0;0;0;0;15;0;1;0;0
2013-03-27 07;347;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0
2013-03-27 08;348;0;0;0;0;0;0;0;0;0;0;16;1;1;0;0
2013-03-27 09;347;0;0;0;0;0;0;0;0;0;0;17;0;1;0;0
2013-03-27 10;348;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0
2013-03-27 11;346;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0
2013-03-27 12;348;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0
2013-03-27 13;347;0;0;0;0;0;0;0;0;0;0;14;1;1;0;0
2013-03-27 14;252;58;26;1433;477.6666666666667;1;4175;4175.0;0;0;0;113;1;1;0;0
2013-03-27 15;348;0;0;3480;3480.0;0;0;0;0;0;0;16;10;1;0;0
2013-03-27 16;237;86;9;0;0;1;11135;11135.0;1;11122;11122.0;104;10;2;0;0
2013-03-27 17;341;0;0;202;101.0;0;0;0;0;0;0;14;10;1;0;0
2013-03-27 18;176;150;4;161;161.0;0;0;0;0;0;0;254;5;2;0;0
2013-03-27 19;285;56;0;815;203.75;1;3788;3788.0;0;0;0;178;0;2;0;0
2013-03-27 20;344;0;0;2411;803.6666666666666;1;6079;6079.0;1;6076;6076.0;23;0;1;0;0
2013-03-27 21;347;0;0;2783;695.75;0;0;0;0;0;0;18;0;1;0;0
2013-03-27 22;247;35;0;3905;781.0;0;0;0;0;0;0;24;0;2;0;0
2013-03-27 23;210;96;7;1865;932.5;1;3994;3994.0;1;6473;6473.0;106;0;1;0;0
2013-03-28 00;318;28;0;362;362.0;0;0;0;0;0;0;53;0;2;0;4
2013-03-28 01;334;0;0;1523;380.75;0;0;0;0;0;0;14;0;1;0;0
2013-03-28 02;286;51;2;10619;2654.75;1;12111;12111.0;1;11992;11992.0;59;0;1;0;0
2013-03-28 03;286;31;15;0;0;0;0;0;0;0;0;31;0;1;0;0
2013-03-28 04;189;126;2;0;0;0;0;0;0;0;0;17;0;1;0;0
2013-03-28 05;118;203;0;1917;958.5;0;0;0;0;0;0;38;0;1;0;0
2013-03-28 06;324;12;0;273;273.0;1;30025;30025.0;1;33821;33821.0;27;0;1;0;0
2013-03-28 07;348;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0
2013-03-28 08;347;0;0;0;0;0;0;0;0;0;0;18;0;1;0;0
2013-03-28 09;348;0;0;0;0;0;0;0;0;0;0;16;0;1;0;0
2013-03-28 10;347;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0
2013-03-28 11;348;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0
2013-03-28 12;346;0;0;0;0;0;0;0;0;0;0;18;0;1;0;0
2013-03-28 13;347;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0
2013-03-28 14;348;0;0;0;0;0;0;0;0;0;0;19;0;1;0;0
2013-03-28 15;156;137;4;475;158.33333333333334;0;0;0;0;0;0;44;0;1;0;0
2013-03-28 16;154;174;0;1360;226.66666666666666;0;0;0;0;0;0;192;0;2;0;0
2013-03-28 17;292;45;0;3157;1578.5;1;12219;12219.0;1;11378;11378.0;83;0;1;0;0
2013-03-28 18;47;279;7;1422;711.0;0;0;0;0;0;0;159;0;1;0;0
2013-03-28 19;302;19;3;402;201.0;0;0;0;0;0;0;24;0;2;0;0
2013-03-28 20;201;109;14;8665;2888.3333333333335;0;0;0;0;0;0;164;0;1;0;0
2013-03-28 21;331;0;0;0;0;1;7285;7285.0;1;7265;7265.0;25;0;1;0;0
2013-03-28 22;321;0;0;0;0;0;0;0;0;0;0;38;0;1;0;0
2013-03-28 23;203;136;2;1311;655.5;0;0;0;1;5691;5691.0;153;0;2;0;0
2013-03-29 00;215;68;0;2693;673.25;1;19191;19191.0;1;18457;18457.0;109;0;2;0;4
2013-03-29 01;295;31;4;3430;857.5;0;0;0;0;0;0;40;0;1;0;0
2013-03-29 02;225;83;14;5314;5314.0;0;0;0;0;0;0;16;0;1;0;0
2013-03-29 03;28;260;5;3368;3368.0;0;0;0;0;0;0;14;0;1;0;0
2013-03-29 04;158;163;1;1109;1109.0;0;0;0;0;0;0;15;0;1;0;0
2013-03-29 05;230;86;4;1936;484.0;0;0;0;0;0;0;86;0;2;0;0
2013-03-29 06;344;3;0;0;0;1;30709;30709.0;1;30737;30737.0;10;0;1;0;0
2013-03-29 07;347;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0
2013-03-29 08;347;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0
2013-03-29 09;347;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0
2013-03-29 10;344;0;0;0;0;0;0;0;0;0;0;12;0;1;0;0
2013-03-29 11;344;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0
2013-03-29 12;346;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0
2013-03-29 13;346;0;0;0;0;0;0;0;0;0;0;11;0;1;0;0
2013-03-29 14;270;63;5;5062;1687.3333333333333;1;4103;4103.0;0;0;0;98;0;1;0;0
