date;stationary_count;walking_count;running_count;total_conversation_duration;average_conversation_duration;phone_lock_count;total_phone_lock_duration;average_phone_lock_duration;dark_environment_count;total_dark_environment_duration;average_dark_environment_duration;unique_wifi_networks;unique_bluetooth_devices;unique_positions;mood;stress
2013-03-27 05;348;0;0;0;0;0;0;0;0;0;0;19;9;1;0;0
2013-03-27 06;347;0;0;0;0;0;0;0;0;0;0;19;10;1;0;0
2013-03-27 07;347;0;0;0;0;0;0;0;0;0;0;21;8;1;0;0
2013-03-27 08;348;0;0;0;0;0;0;0;0;0;0;18;8;1;0;0
2013-03-27 09;347;0;0;0;0;0;0;0;0;0;0;16;7;1;0;0
2013-03-27 10;348;0;0;0;0;0;0;0;0;0;0;18;8;1;0;0
2013-03-27 11;347;0;0;0;0;0;0;0;0;0;0;23;8;1;0;0
2013-03-27 12;348;0;0;0;0;0;0;0;0;0;0;24;9;1;0;0
2013-03-27 13;347;0;0;0;0;0;0;0;0;0;0;17;12;1;0;0
2013-03-27 14;348;0;0;0;0;0;0;0;0;0;0;17;12;1;0;0
2013-03-27 15;347;0;0;0;0;0;0;0;0;0;0;15;9;1;0;0
2013-03-27 16;348;0;0;626;313.0;0;0;0;0;0;0;18;11;1;0;0
2013-03-27 17;344;0;0;50;50.0;1;5710;5710.0;0;0;0;16;10;1;0;0
2013-03-27 18;343;0;0;1886;943.0;1;4187;4187.0;0;0;0;20;11;1;0;0
2013-03-27 19;340;2;0;1150;230.0;0;0;0;0;0;0;17;12;1;0;0
2013-03-27 20;120;0;0;70;70.0;0;0;0;0;0;0;11;7;1;0;0
2013-03-28 02;189;85;0;1118;372.6666666666667;0;0;0;0;0;0;34;15;1;0;0
2013-03-28 03;219;38;46;734;367.0;1;6592;6592.0;1;7503;7503.0;122;7;2;0;0
2013-03-28 04;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 05;318;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 06;336;0;0;0;0;1;30731;30731.0;0;0;0;1;0;1;0;0
2013-03-28 07;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 08;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 09;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 10;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 11;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 12;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 13;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 14;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-28 15;214;67;33;0;0;1;6185;6185.0;0;0;0;15;0;1;0;0
2013-03-28 16;225;8;96;0;0;0;0;0;0;0;0;427;12;2;0;0
2013-03-28 17;298;30;7;3408;1704.0;0;0;0;0;0;0;71;8;1;0;0
2013-03-28 18;244;74;17;1260;252.0;1;5140;5140.0;0;0;0;38;16;1;0;0
2013-03-28 19;341;0;0;1857;464.25;1;6061;6061.0;0;0;0;29;8;1;0;0
2013-03-28 20;345;0;0;272;272.0;0;0;0;0;0;0;36;11;1;0;0
2013-03-28 21;320;3;0;2673;891.0;1;19221;19221.0;1;5568;5568.0;32;9;1;0;0
2013-03-28 22;206;77;12;1149;383.0;0;0;0;0;0;0;61;7;1;0;0
2013-03-28 23;177;80;5;576;288.0;0;0;0;1;14189;14189.0;71;11;1;0;0
2013-03-29 00;246;14;0;1309;261.8;0;0;0;0;0;0;42;7;1;0;0
2013-03-29 01;265;41;0;1049;262.25;0;0;0;0;0;0;32;7;1;0;0
2013-03-29 02;153;72;0;1924;641.3333333333334;0;0;0;1;6495;6495.0;113;9;1;0;0
2013-03-29 03;239;65;0;373;373.0;1;3708;3708.0;0;0;0;151;0;2;0;0
2013-03-29 04;338;0;0;726;726.0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 05;332;2;0;0;0;0;0;0;1;34054;34054.0;1;0;1;0;0
2013-03-29 06;337;0;0;0;0;1;28374;28374.0;0;0;0;1;0;1;0;0
2013-03-29 07;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 08;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 09;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 10;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 11;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 12;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 13;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-29 14;190;81;58;4729;4729.0;0;0;0;0;0;0;131;2;2;0;0
2013-03-29 15;342;0;0;0;0;0;0;0;0;0;0;24;11;1;0;0
2013-03-29 16;178;109;3;0;0;0;0;0;0;0;0;88;10;2;0;0
2013-03-29 17;212;78;0;2118;2118.0;1;12516;12516.0;0;0;0;67;17;1;0;0
2013-03-29 18;348;0;0;0;0;0;0;0;0;0;0;45;10;1;0;0
2013-03-29 19;347;0;0;1169;233.8;0;0;0;0;0;0;32;14;1;0;0
2013-03-29 20;347;0;0;1945;648.3333333333334;0;0;0;1;3787;3787.0;40;16;1;0;0
2013-03-29 21;346;0;0;2815;563.0;0;0;0;0;0;0;38;10;1;0;0
2013-03-29 22;347;0;0;626;156.5;0;0;0;0;0;0;33;6;1;0;0
2013-03-29 23;207;63;13;4673;2336.5;1;6568;6568.0;1;5653;5653.0;99;0;1;0;0
2013-03-30 00;171;152;0;746;248.66666666666666;0;0;0;0;0;0;339;5;2;0;0
2013-03-30 01;143;77;34;5517;1379.25;1;6626;6626.0;1;6539;6539.0;181;7;1;0;0
2013-03-30 02;226;23;0;3117;1558.5;1;3725;3725.0;1;3752;3752.0;32;0;1;0;0
2013-03-30 03;274;20;0;807;403.5;0;0;0;0;0;0;32;0;1;0;0
2013-03-30 04;271;29;0;3266;1633.0;1;8594;8594.0;0;0;0;31;0;2;0;0
2013-03-30 05;233;73;0;1251;417.0;0;0;0;0;0;0;71;0;2;0;0
2013-03-30 06;345;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 07;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 08;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 09;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 10;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 11;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 12;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 13;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 14;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 15;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 16;348;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 17;347;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
2013-03-30 18;203;103;28;111;111.0;0;0;0;0;0;0;128;7;3;0;0
2013-03-30 19;311;10;0;726;242.0;0;0;0;0;0;0;32;14;1;0;0
2013-03-30 20;325;8;0;1170;390.0;1;6023;6023.0;1;6046;6046.0;42;17;1;0;0
2013-03-30 21;311;31;0;1271;317.75;1;5319;5319.0;1;4900;4900.0;105;14;1;0;0
2013-03-30 22;44;186;22;2067;295.2857142857143;0;0;0;0;0;0;300;2;2;0;0
2013-03-30 23;90;179;4;2440;610.0;0;0;0;0;0;0;116;1;1;0;1
2013-03-31 00;139;109;0;2189;729.6666666666666;0;0;0;1;22094;22094.0;15;0;1;0;0
2013-03-31 01;224;83;0;7140;3570.0;1;18809;18809.0;0;0;0;8;0;0;0;0
2013-03-31 03;285;9;0;3607;1803.5;0;0;0;0;0;0;7;0;0;0;0
2013-03-31 04;283;31;0;1211;302.75;0;0;0;0;0;0;16;1;0;0;0
2013-03-31 05;331;0;0;101;101.0;0;0;0;0;0;0;16;1;0;0;0
2013-03-31 06;250;26;0;1453;242.16666666666666;0;0;0;1;6250;6250.0;46;1;0;0;0
2013-03-31 07;327;1;0;70;70.0;0;0;0;0;0;0;4;0;1;0;0
